,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
0,"(109, 110)",60,0,65,70,100,0,61,0
1,"(109, 111)",60,17.14285714,5,10,100,2,144,0
2,"(109, 112)",60,0,5,10,100,2,172,0
3,"(109, 113)",60,0,20,20,95,2,180,0
4,"(109, 114)",60,0,10,10,100,2,156,0
5,"(109, 115)",70,20,15,20,100,0,126,0
6,"(109, 116)",70,20,15,20,100,0,127,0
7,"(109, 117)",55,0,65,65,80,1,64,0
8,"(109, 118)",65,45,25,25,60,5,120,0
9,"(109, 119)",75,0,0,0,100,1,15,0
10,"(109, 120)",100,100,90,90,100,0,12,1
11,"(109, 121)",70,40,35,35,100,0,106,0
12,"(109, 122)",60,15.55555556,35,35,100,4,47,0
13,"(109, 123)",70,0,40,50,100,2,116,0
14,"(109, 124)",70,0,50,55,95,2,133,0
15,"(109, 125)",75,0,25,30,95,1,205,0
16,"(109, 126)",70,0,20,25,100,2,201,0
17,"(109, 127)",65,0,0,5,100,1,205,0
18,"(109, 128)",55,18.33333333,5,10,95,1,167,0
19,"(109, 129)",45,0,0,5,90,1,188,0
20,"(109, 130)",80,40,5,10,100,0,39,0
21,"(109, 131)",55,18.33333333,0,5,90,1,159,0
22,"(109, 132)",65,0,0,5,100,3,45,0
23,"(109, 133)",60,0,0,5,100,2,292,0
24,"(109, 134)",75,35,60,65,95,3,566,0
25,"(109, 135)",70,20,35,55,100,0,256,0
26,"(109, 136)",75,22.5,15,25,90,1,281,0
27,"(109, 137)",80,40,10,15,100,0,153,0
28,"(109, 138)",75,0,55,60,100,3,115,0
29,"(109, 139)",75,0,55,60,100,3,114,0
30,"(109, 140)",70,0,60,60,95,2,58,0
31,"(109, 141)",70,0,60,65,95,2,45,0
32,"(109, 142)",60,0,70,75,100,0,5,0
33,"(110, 111)",70,0,20,30,100,2,83,0
34,"(110, 112)",80,53.33333333,25,35,100,2,111,0
35,"(110, 113)",80,53.33333333,50,55,95,2,119,0
36,"(110, 114)",80,53.33333333,50,55,100,2,95,0
37,"(110, 115)",70,20,5,10,100,0,187,0
38,"(110, 116)",70,0,10,15,100,0,188,0
39,"(110, 117)",65,18.33333333,35,35,80,1,3,0
40,"(110, 118)",75,30,45,50,60,5,181,0
41,"(110, 119)",85,45,30,30,100,1,46,0
42,"(110, 120)",60,0,55,60,100,0,49,0
43,"(110, 121)",80,40,55,55,100,0,167,0
44,"(110, 122)",50,0,50,50,100,4,108,0
45,"(110, 123)",70,17.14285714,50,70,100,2,55,0
46,"(110, 124)",70,17.14285714,60,70,95,2,72,0
47,"(110, 125)",65,18.33333333,50,60,95,1,144,0
48,"(110, 126)",70,0,40,55,100,2,140,0
49,"(110, 127)",85,45,0,10,100,1,144,0
50,"(110, 128)",65,18.33333333,5,10,95,1,106,0
51,"(110, 129)",65,36.66666667,0,5,90,1,127,0
52,"(110, 130)",70,20,5,10,100,0,22,0
53,"(110, 131)",65,36.66666667,0,10,90,1,98,0
54,"(110, 132)",85,70,0,5,100,3,16,0
55,"(110, 133)",80,53.33333333,0,5,100,2,231,0
56,"(110, 134)",75,35,70,85,95,3,505,0
57,"(110, 135)",80,20,35,75,100,0,195,0
58,"(110, 136)",85,22.5,15,30,90,1,220,0
59,"(110, 137)",70,20,10,15,100,0,92,0
