,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
0,"(143, 144)",65,0,10,15,100,1,57,0
1,"(143, 145)",65,0,10,15,100,1,61,0
2,"(143, 146)",60,38.0952381,35,40,100,2,53,0
3,"(143, 147)",45,20.53571429,10,10,95,9,34,0
4,"(143, 148)",60,41.9047619,10,15,100,8,209,0
5,"(143, 149)",70,11.68831169,10,15,95,4,375,0
6,"(143, 150)",70,11.68831169,10,15,100,4,377,0
7,"(143, 151)",100,100,100,100,100,0,2,1
8,"(143, 152)",50,21.97802198,10,15,100,6,244,0
9,"(143, 153)",40,0,0,5,95,4,53,0
10,"(143, 154)",40,0,10,40,70,6,43,0
11,"(143, 155)",55,24.28571429,35,40,100,3,98,0
12,"(143, 156)",45,21.42857143,10,15,100,7,326,0
13,"(143, 157)",55,33.92857143,10,15,100,5,65,0
14,"(143, 158)",65,0,10,15,100,1,54,0
15,"(144, 145)",100,100,95,95,100,0,4,1
16,"(144, 146)",75,35.41666667,25,30,100,1,110,0
17,"(144, 147)",40,46.875,10,5,95,8,23,0
18,"(144, 148)",65,28.75,20,25,100,7,152,0
19,"(144, 149)",65,43.18181818,15,20,95,3,318,0
20,"(144, 150)",65,43.18181818,15,20,100,3,320,0
21,"(144, 151)",65,0,10,15,100,1,55,0
22,"(144, 152)",55,20.19230769,40,45,100,5,187,0
23,"(144, 153)",55,32.38636364,0,5,95,3,110,0
24,"(144, 154)",55,20.19230769,0,10,70,5,100,0
25,"(144, 155)",60,22.5,10,20,100,2,155,0
26,"(144, 156)",50,29.46428571,20,25,100,6,269,0
27,"(144, 157)",80,20.83333333,40,45,100,4,122,0
28,"(144, 158)",100,100,100,100,100,0,3,1
29,"(145, 146)",75,35.41666667,25,30,100,1,114,0
30,"(145, 147)",40,46.875,10,5,95,8,27,0
31,"(145, 148)",65,28.75,20,25,100,7,148,0
32,"(145, 149)",65,43.18181818,20,25,95,3,314,0
33,"(145, 150)",65,43.18181818,20,25,100,3,316,0
34,"(145, 151)",65,0,10,15,100,1,59,0
35,"(145, 152)",55,20.19230769,40,45,100,5,183,0
36,"(145, 153)",55,32.38636364,0,5,95,3,114,0
37,"(145, 154)",55,20.19230769,0,10,70,5,104,0
38,"(145, 155)",60,22.5,5,10,100,2,159,0
39,"(145, 156)",50,29.46428571,15,20,100,6,265,0
40,"(145, 157)",80,20.83333333,40,45,100,4,126,0
41,"(145, 158)",100,100,95,95,100,0,7,1
42,"(146, 147)",45,26.04166667,0,0,95,7,87,0
43,"(146, 148)",70,44.44444444,15,20,100,6,262,0
44,"(146, 149)",60,20.2020202,10,15,95,2,428,0
45,"(146, 150)",60,20.2020202,10,15,100,2,430,0
46,"(146, 151)",60,38.0952381,40,45,100,2,55,0
47,"(146, 152)",60,18.8034188,20,25,100,4,297,0
48,"(146, 153)",40,10.1010101,0,5,95,2,0,0
49,"(146, 154)",60,28.20512821,10,30,70,4,10,0
50,"(146, 155)",45,21.11111111,25,30,100,1,45,0
51,"(146, 156)",65,36.50793651,20,25,100,5,379,0
52,"(146, 157)",75,29.16666667,25,30,100,3,12,0
53,"(146, 158)",75,35.41666667,20,25,100,1,107,0
54,"(147, 148)",75,32.29166667,0,5,95,1,175,0
55,"(147, 149)",65,23.01136364,0,0,90,5,341,0
56,"(147, 150)",65,23.01136364,0,0,95,5,343,0
57,"(147, 151)",45,20.53571429,10,10,95,9,32,0
58,"(147, 152)",75,55.76923077,0,0,95,3,210,0
59,"(147, 153)",75,30.68181818,5,10,90,5,87,0
60,"(147, 154)",65,13.94230769,10,10,75,3,77,0
61,"(147, 155)",70,32.5,15,15,95,6,132,0
62,"(147, 156)",60,33.48214286,0,0,95,2,292,0
63,"(147, 157)",60,14.58333333,0,0,95,4,99,0
64,"(147, 158)",40,46.875,10,5,95,8,20,0
65,"(148, 149)",80,39.39393939,85,90,95,4,166,0
66,"(148, 150)",80,39.39393939,80,85,100,4,168,0
67,"(148, 151)",60,41.9047619,10,15,100,8,207,0
68,"(148, 152)",80,21.53846154,15,20,100,2,35,0
69,"(148, 153)",60,15.75757576,0,5,95,4,262,0
70,"(148, 154)",70,28.71794872,0,15,70,2,252,0
71,"(148, 155)",65,33.33333333,5,20,100,5,307,0
72,"(148, 156)",65,41.42857143,75,80,100,1,117,0
73,"(148, 157)",85,15,10,15,100,3,274,0
74,"(148, 158)",65,28.75,15,20,100,7,155,0
75,"(149, 150)",100,100,100,95,95,0,2,1
76,"(149, 151)",70,11.68831169,10,15,95,4,373,0
77,"(149, 152)",80,8.391608392,10,15,95,2,131,0
78,"(149, 153)",60,45.45454545,0,5,90,0,428,0
79,"(149, 154)",70,25.17482517,0,10,65,2,418,0
80,"(149, 155)",75,19.09090909,5,15,95,1,473,0
81,"(149, 156)",55,48.7012987,60,60,95,3,49,0
82,"(149, 157)",75,26.13636364,10,15,95,1,440,0
83,"(149, 158)",65,43.18181818,20,25,95,3,321,0
84,"(150, 151)",70,11.68831169,10,15,100,4,375,0
85,"(150, 152)",80,8.391608392,10,15,100,2,133,0
86,"(150, 153)",60,45.45454545,0,5,95,0,430,0
87,"(150, 154)",70,25.17482517,0,10,70,2,420,0
88,"(150, 155)",75,19.09090909,5,15,100,1,475,0
89,"(150, 156)",55,48.7012987,70,75,100,3,51,0
90,"(150, 157)",75,26.13636364,10,15,100,1,442,0
91,"(150, 158)",65,43.18181818,20,25,100,3,323,0
92,"(151, 152)",50,21.97802198,10,15,100,6,242,0
93,"(151, 153)",40,0,0,0,95,4,55,0
94,"(151, 154)",40,0,5,35,70,6,45,0
95,"(151, 155)",55,24.28571429,30,35,100,3,100,0
96,"(151, 156)",45,21.42857143,10,15,100,7,324,0
97,"(151, 157)",55,33.92857143,10,15,100,5,67,0
98,"(151, 158)",65,0,10,15,100,1,52,0
99,"(152, 153)",70,16.78321678,0,0,95,2,297,0
100,"(152, 154)",90,7.692307692,0,15,70,0,287,0
101,"(152, 155)",85,26.53846154,10,25,100,3,342,0
102,"(152, 156)",65,14.83516484,35,40,100,1,82,0
103,"(152, 157)",75,24.03846154,20,25,100,1,309,0
104,"(152, 158)",55,20.19230769,40,45,100,5,190,0
105,"(153, 154)",60,8.391608392,0,5,65,2,10,0
106,"(153, 155)",75,9.545454545,0,5,95,1,45,0
107,"(153, 156)",45,32.46753247,0,5,95,3,379,0
108,"(153, 157)",65,17.42424242,0,5,95,1,12,0
109,"(153, 158)",55,32.38636364,0,5,95,3,107,0
110,"(154, 155)",75,61.92307692,40,75,70,3,55,1
111,"(154, 156)",75,22.25274725,0,15,70,1,369,0
112,"(154, 157)",65,0,0,15,70,1,22,0
113,"(154, 158)",55,20.19230769,0,10,70,5,97,0
114,"(155, 156)",50,17.14285714,10,25,100,4,424,0
115,"(155, 157)",60,9.166666667,10,20,100,2,33,0
116,"(155, 158)",60,22.5,5,10,100,2,152,0
117,"(156, 157)",60,30.95238095,15,20,100,2,391,0
118,"(156, 158)",50,29.46428571,20,25,100,6,272,0
119,"(157, 158)",80,20.83333333,35,40,100,4,119,0
