,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
0,"(159, 160)",50,0,0,0,100,10,300,0
1,"(159, 161)",80,0,10,15,100,4,236,0
2,"(159, 162)",80,0,10,15,100,4,212,0
3,"(159, 163)",85,0,25,30,100,3,260,0
4,"(159, 164)",85,0,30,35,95,3,252,0
5,"(159, 165)",90,0,5,10,90,2,434,0
6,"(159, 166)",75,0,0,5,95,5,417,0
7,"(159, 167)",65,0,0,0,100,7,433,0
8,"(159, 168)",70,0,0,0,100,6,433,0
9,"(159, 169)",60,0,0,0,100,8,150,0
10,"(159, 170)",70,0,15,20,100,6,217,0
11,"(159, 171)",85,0,0,0,100,3,178,0
12,"(159, 172)",80,0,5,10,100,4,310,0
13,"(159, 173)",85,0,10,10,100,3,298,0
14,"(159, 174)",80,0,20,25,95,4,477,0
15,"(159, 175)",80,0,20,25,95,4,462,0
16,"(159, 176)",85,0,0,0,90,3,289,0
17,"(159, 177)",80,0,0,0,90,4,422,0
18,"(159, 178)",70,0,10,15,100,6,248,0
19,"(159, 179)",60,0,0,5,95,8,454,0
20,"(159, 180)",60,0,5,10,95,8,435,0
21,"(159, 181)",65,0,5,10,100,7,479,0
22,"(159, 182)",95,0,10,20,100,1,628,0
23,"(159, 183)",90,0,0,0,45,2,108,0
24,"(159, 184)",100,0,15,20,90,0,459,0
25,"(159, 185)",55,0,0,5,100,9,582,0
26,"(159, 186)",80,0,5,10,95,4,316,0
27,"(159, 187)",80,0,25,30,95,4,192,0
28,"(159, 188)",60,0,0,5,100,8,267,0
29,"(159, 189)",85,0,65,70,100,3,96,0
30,"(159, 190)",80,0,0,0,100,4,19,0
31,"(160, 161)",60,35,35,35,100,6,64,0
32,"(160, 162)",60,17.5,0,0,100,6,88,0
33,"(160, 163)",65,21.66666667,0,0,100,7,40,0
34,"(160, 164)",65,21.66666667,0,0,95,7,48,0
35,"(160, 165)",60,30,45,55,90,8,134,0
36,"(160, 166)",65,30,60,65,95,5,117,0
37,"(160, 167)",75,12.14285714,0,0,100,3,133,0
38,"(160, 168)",70,26.66666667,0,0,100,4,133,0
39,"(160, 169)",50,33.75,30,30,100,2,150,0
40,"(160, 170)",70,13.33333333,0,0,100,4,83,0
41,"(160, 171)",55,21.66666667,0,0,100,7,122,0
42,"(160, 172)",70,35,0,0,100,6,10,0
43,"(160, 173)",65,21.66666667,0,0,100,7,2,0
44,"(160, 174)",70,17.5,10,10,95,6,177,0
45,"(160, 175)",70,17.5,5,5,95,6,162,0
46,"(160, 176)",55,21.66666667,0,15,90,7,11,0
47,"(160, 177)",60,52.5,15,30,90,6,122,0
48,"(160, 178)",60,26.66666667,0,0,100,4,52,0
49,"(160, 179)",70,45,0,0,95,2,154,0
50,"(160, 180)",70,45,0,0,95,2,135,0
51,"(160, 181)",55,24.28571429,0,0,100,3,179,0
52,"(160, 182)",55,55,0,0,100,9,328,0
53,"(160, 183)",60,30,0,5,45,8,192,0
54,"(160, 184)",50,0,0,0,90,10,159,0
55,"(160, 185)",55,42.22222222,0,25,100,1,282,0
56,"(160, 186)",60,35,0,0,95,6,16,0
57,"(160, 187)",70,35,0,0,95,6,108,0
58,"(160, 188)",60,33.75,10,5,100,2,33,0
59,"(160, 189)",65,43.33333333,0,0,100,7,204,0
60,"(160, 190)",70,35,0,0,100,6,281,0
61,"(161, 162)",80,25,15,15,100,0,24,0
62,"(161, 163)",75,29.16666667,35,35,100,1,24,0
63,"(161, 164)",75,29.16666667,40,40,95,1,16,0
64,"(161, 165)",80,37.5,25,30,90,2,198,0
65,"(161, 166)",75,22.5,35,40,95,1,181,0
66,"(161, 167)",65,19.64285714,15,20,100,3,197,0
67,"(161, 168)",70,41.66666667,5,10,100,2,197,0
68,"(161, 169)",70,37.5,20,20,100,4,86,0
69,"(161, 170)",60,0,30,30,100,2,19,0
70,"(161, 171)",85,58.33333333,20,20,100,1,58,0
71,"(161, 172)",80,25,30,40,100,0,74,0
72,"(161, 173)",75,29.16666667,10,15,100,1,62,0
73,"(161, 174)",80,50,45,45,95,0,241,0
74,"(161, 175)",80,50,50,50,95,0,226,0
75,"(161, 176)",75,29.16666667,45,45,90,1,53,0
76,"(161, 177)",80,50,25,30,90,0,186,0
77,"(161, 178)",70,41.66666667,15,20,100,2,12,0
78,"(161, 179)",70,37.5,35,45,95,4,218,0
79,"(161, 180)",70,37.5,35,50,95,4,199,0
80,"(161, 181)",65,19.64285714,40,50,100,3,243,0
81,"(161, 182)",85,62.5,5,20,100,3,392,0
82,"(161, 183)",80,37.5,0,5,45,2,128,0
83,"(161, 184)",80,0,10,10,90,4,223,0
84,"(161, 185)",65,54.16666667,5,15,100,5,346,0
85,"(161, 186)",80,25,30,35,95,0,80,0
86,"(161, 187)",80,50,15,20,95,0,44,0
87,"(161, 188)",70,0,25,25,100,4,31,0
88,"(161, 189)",85,58.33333333,0,0,100,1,140,0
89,"(161, 190)",80,0,0,0,100,0,217,0
90,"(162, 163)",75,0,30,30,100,1,48,0
91,"(162, 164)",75,0,35,35,95,1,40,0
92,"(162, 165)",80,37.5,5,10,90,2,222,0
93,"(162, 166)",65,22.5,0,5,95,1,205,0
94,"(162, 167)",75,19.64285714,0,0,100,3,221,0
95,"(162, 168)",80,41.66666667,0,0,100,2,221,0
96,"(162, 169)",60,18.75,0,0,100,4,62,0
97,"(162, 170)",70,0,35,40,100,2,5,0
98,"(162, 171)",75,29.16666667,40,35,100,1,34,0
99,"(162, 172)",70,25,50,50,100,0,98,0
100,"(162, 173)",75,29.16666667,45,45,100,1,86,0
101,"(162, 174)",70,0,30,30,95,0,265,0
102,"(162, 175)",70,0,35,35,95,0,250,0
103,"(162, 176)",75,0,5,0,90,1,77,0
104,"(162, 177)",90,50,10,5,90,0,210,0
105,"(162, 178)",80,20.83333333,55,55,100,2,36,0
106,"(162, 179)",60,18.75,10,15,95,4,242,0
107,"(162, 180)",60,18.75,10,15,95,4,223,0
108,"(162, 181)",55,19.64285714,10,10,100,3,267,0
109,"(162, 182)",85,0,70,75,100,3,416,0
110,"(162, 183)",80,0,30,75,45,2,104,0
111,"(162, 184)",80,0,85,90,90,4,247,0
112,"(162, 185)",65,18.05555556,0,5,100,5,370,0
113,"(162, 186)",80,50,10,15,95,0,104,0
114,"(162, 187)",90,25,50,55,95,0,20,0
