,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
199,"(35, 39)",55,18.25396825,0,0,100,5,213,0
200,"(35, 40)",70,15.47619048,0,5,100,2,80,0
201,"(35, 41)",75,32.46753247,0,5,100,3,423,0
202,"(35, 42)",45,8.116883117,0,0,100,3,272,0
203,"(35, 43)",55,42.85714286,15,25,100,7,49,0
204,"(35, 44)",70,25.71428571,0,5,100,4,250,0
205,"(35, 45)",65,22.25274725,0,5,100,1,66,0
206,"(35, 46)",65,32.56302521,0,5,100,3,87,0
207,"(35, 47)",60,47.61904762,20,25,100,8,14,0
208,"(35, 48)",65,36.50793651,0,5,100,5,294,0
209,"(35, 49)",50,11.9047619,20,25,100,8,127,0
210,"(35, 50)",50,23.80952381,30,35,100,8,85,0
211,"(35, 51)",65,32.14285714,5,10,100,7,439,0
212,"(35, 52)",60,25.71428571,0,0,100,4,254,0
213,"(35, 53)",60,25.71428571,0,5,100,4,155,0
214,"(35, 54)",65,16.23376623,0,0,100,3,268,0
215,"(35, 55)",65,39.07563025,5,10,100,3,68,0
216,"(36, 37)",50,14.54545455,65,70,95,6,228,0
217,"(36, 38)",70,33.56643357,0,0,100,2,135,0
218,"(36, 39)",60,40.4040404,0,0,100,2,46,0
219,"(36, 40)",45,17.42424242,5,10,100,1,339,0
220,"(36, 41)",70,27.27272727,65,65,100,0,164,0
221,"(36, 42)",60,27.27272727,0,0,100,0,13,0
222,"(36, 43)",50,23.37662338,5,10,100,4,210,0
223,"(36, 44)",65,38.18181818,5,10,100,1,9,0
224,"(36, 45)",40,25.17482517,5,10,100,2,325,0
225,"(36, 46)",70,44.9197861,10,15,100,6,172,0
226,"(36, 47)",55,38.63636364,5,10,100,5,245,0
227,"(36, 48)",80,40.4040404,10,15,100,2,35,0
228,"(36, 49)",55,25.75757576,0,5,100,5,386,0
229,"(36, 50)",55,12.87878788,0,5,100,5,344,0
230,"(36, 51)",80,46.75324675,15,20,100,4,180,0
231,"(36, 52)",65,19.09090909,0,0,100,1,5,0
232,"(36, 53)",55,28.63636364,5,10,100,1,104,0
233,"(36, 54)",70,45.45454545,0,0,100,0,9,0
234,"(36, 55)",70,52.40641711,0,5,100,6,191,0
235,"(37, 38)",60,27.69230769,0,0,95,8,93,0
236,"(37, 39)",50,15.55555556,0,0,95,4,182,0
237,"(37, 40)",55,42.5,10,15,95,7,111,0
238,"(37, 41)",60,43.63636364,20,25,95,6,392,0
239,"(37, 42)",30,14.54545455,0,0,95,6,241,0
240,"(37, 43)",80,51.42857143,0,5,95,2,18,0
241,"(37, 44)",65,45,5,10,95,5,219,0
242,"(37, 45)",50,27.69230769,5,10,95,8,97,0
243,"(37, 46)",40,38.82352941,10,15,95,12,56,0
244,"(37, 47)",85,36.66666667,5,10,95,1,17,0
245,"(37, 48)",70,46.66666667,20,25,95,4,263,0
246,"(37, 49)",75,55,0,5,95,1,158,0
247,"(37, 50)",75,55,0,5,95,1,116,0
248,"(37, 51)",70,34.28571429,15,20,95,2,408,0
249,"(37, 52)",55,45,15,15,95,5,223,0
250,"(37, 53)",55,15,0,5,95,5,124,0
251,"(37, 54)",40,14.54545455,0,0,95,6,237,0
252,"(37, 55)",40,38.82352941,0,5,95,12,37,0
253,"(38, 39)",70,37.60683761,0,0,100,4,89,0
254,"(38, 40)",75,40.06410256,20,20,100,1,204,0
255,"(38, 41)",80,16.78321678,0,0,100,2,299,0
256,"(38, 42)",60,67.13286713,5,10,100,2,148,0
257,"(38, 43)",70,32.96703297,20,20,100,6,75,0
258,"(38, 44)",75,8.846153846,0,0,100,3,126,0
259,"(38, 45)",60,23.07692308,20,15,100,0,190,0
260,"(38, 46)",80,27.14932127,45,45,100,4,37,0
261,"(38, 47)",65,36.53846154,20,20,100,7,110,0
262,"(38, 48)",70,47.00854701,0,0,100,4,170,0
263,"(38, 49)",65,24.35897436,20,20,100,7,251,0
264,"(38, 50)",65,12.17948718,15,15,100,7,209,0
265,"(38, 51)",70,32.96703297,0,0,100,6,315,0
266,"(38, 52)",65,17.69230769,10,15,100,3,130,0
267,"(38, 53)",65,35.38461538,20,20,100,3,31,0
268,"(38, 54)",70,33.56643357,0,0,100,2,144,0
269,"(38, 55)",80,27.14932127,50,45,100,4,56,0
270,"(39, 40)",65,38.88888889,5,0,100,3,293,0
271,"(39, 41)",60,20.2020202,0,0,100,2,210,0
272,"(39, 42)",80,40.4040404,0,0,100,2,59,0
273,"(39, 43)",50,25.3968254,0,0,100,2,164,0
274,"(39, 44)",55,10.55555556,0,0,100,1,37,0
275,"(39, 45)",40,18.8034188,0,0,100,4,279,0
276,"(39, 46)",60,33.9869281,0,0,100,8,126,0
277,"(39, 47)",45,13.88888889,0,0,100,3,199,0
278,"(39, 48)",60,11.11111111,0,0,100,0,81,0
279,"(39, 49)",75,41.66666667,25,20,100,3,340,0
280,"(39, 50)",75,27.77777778,20,15,100,3,298,0
281,"(39, 51)",60,0,0,0,100,2,226,0
282,"(39, 52)",55,21.11111111,0,0,100,1,41,0
283,"(39, 53)",65,42.22222222,0,0,100,1,58,0
284,"(39, 54)",90,90.90909091,90,85,100,2,55,1
285,"(39, 55)",60,33.9869281,0,0,100,8,145,0
286,"(40, 41)",65,17.42424242,15,20,100,1,503,0
287,"(40, 42)",55,43.56060606,5,5,100,1,352,0
288,"(40, 43)",65,33.92857143,20,25,100,5,129,0
289,"(40, 44)",70,36.66666667,15,20,100,2,330,0
290,"(40, 45)",75,56.08974359,85,90,100,1,14,1
291,"(40, 46)",65,35.53921569,30,35,100,5,167,0
292,"(40, 47)",60,25,25,30,100,6,94,0
293,"(40, 48)",55,29.16666667,15,20,100,3,374,0
294,"(40, 49)",70,62.5,0,5,100,6,47,0
295,"(40, 50)",70,50,0,5,100,6,5,0
296,"(40, 51)",65,22.61904762,10,15,100,5,519,0
297,"(40, 52)",70,55,15,15,100,2,334,0
298,"(40, 53)",60,45.83333333,20,25,100,2,235,0
299,"(40, 54)",65,34.84848485,5,0,100,1,348,0
300,"(40, 55)",65,35.53921569,30,35,100,5,148,0
301,"(41, 42)",50,0,0,0,100,0,151,0
302,"(41, 43)",60,23.37662338,5,10,100,4,374,0
303,"(41, 44)",55,28.63636364,20,25,100,1,173,0
304,"(41, 45)",70,25.17482517,10,15,100,2,489,0
305,"(41, 46)",70,37.43315508,25,25,100,6,336,0
306,"(41, 47)",55,38.63636364,0,5,100,5,409,0
307,"(41, 48)",60,50.50505051,40,45,100,2,129,0
308,"(41, 49)",65,38.63636364,0,5,100,5,550,0
309,"(41, 50)",65,51.51515152,0,5,100,5,508,0
310,"(41, 51)",70,46.75324675,30,35,100,4,16,0
311,"(41, 52)",75,47.72727273,0,0,100,1,169,0
312,"(41, 53)",75,38.18181818,10,15,100,1,268,0
313,"(41, 54)",70,18.18181818,0,0,100,0,155,0
314,"(41, 55)",70,44.9197861,15,20,100,6,355,0
315,"(42, 43)",40,11.68831169,0,0,100,4,223,0
316,"(42, 44)",45,9.545454545,15,15,100,1,22,0
317,"(42, 45)",50,25.17482517,5,5,100,2,338,0
318,"(42, 46)",70,29.94652406,10,10,100,6,185,0
319,"(42, 47)",35,0,0,0,100,5,258,0
320,"(42, 48)",60,40.4040404,0,0,100,2,22,0
321,"(42, 49)",55,25.75757576,5,5,100,5,399,0
322,"(42, 50)",55,12.87878788,5,5,100,5,357,0
323,"(42, 51)",40,23.37662338,0,0,100,4,167,0
324,"(42, 52)",55,19.09090909,10,15,100,1,18,0
325,"(42, 53)",55,28.63636364,15,15,100,1,117,0
326,"(42, 54)",80,45.45454545,0,0,100,0,4,0
327,"(42, 55)",70,29.94652406,10,10,100,6,204,0
328,"(43, 44)",65,48.57142857,5,10,100,3,201,0
329,"(43, 45)",60,43.95604396,15,20,100,6,115,0
330,"(43, 46)",50,40.33613445,10,15,100,10,38,0
331,"(43, 47)",95,77.38095238,95,95,100,1,35,1
332,"(43, 48)",60,12.6984127,5,10,100,2,245,0
333,"(43, 49)",65,15.47619048,0,5,100,1,176,0
334,"(43, 50)",65,15.47619048,5,10,100,1,134,0
335,"(43, 51)",70,14.28571429,5,10,100,0,390,0
336,"(43, 52)",65,48.57142857,5,5,100,3,205,0
337,"(43, 53)",45,24.28571429,5,10,100,3,106,0
338,"(43, 54)",50,23.37662338,0,0,100,4,219,0
339,"(43, 55)",50,40.33613445,10,15,100,10,19,0
340,"(44, 45)",55,35.38461538,15,20,100,3,316,0
341,"(44, 46)",55,47.64705882,20,25,100,7,163,0
342,"(44, 47)",70,40,5,10,100,4,236,0
343,"(44, 48)",75,31.66666667,40,45,100,1,44,0
344,"(44, 49)",60,26.66666667,0,5,100,4,377,0
345,"(44, 50)",60,40,0,5,100,4,335,0
346,"(44, 51)",75,48.57142857,25,30,100,3,189,0
347,"(44, 52)",60,30,25,25,100,0,4,0
348,"(44, 53)",50,30,15,20,100,0,95,0
349,"(44, 54)",55,19.09090909,0,0,100,1,18,0
350,"(44, 55)",55,47.64705882,20,25,100,7,182,0
351,"(45, 46)",70,27.14932127,30,35,100,4,153,0
352,"(45, 47)",55,36.53846154,20,25,100,7,80,0
353,"(45, 48)",50,18.8034188,15,20,100,4,360,0
354,"(45, 49)",55,48.71794872,0,5,100,7,61,0
355,"(45, 50)",55,36.53846154,0,5,100,7,19,0
356,"(45, 51)",50,10.98901099,10,15,100,6,505,0
357,"(45, 52)",65,44.23076923,15,15,100,3,320,0
358,"(45, 53)",55,35.38461538,35,40,100,3,221,0
359,"(45, 54)",50,16.78321678,0,0,100,2,334,0
360,"(45, 55)",70,33.93665158,35,40,100,4,134,0
361,"(46, 47)",45,45.09803922,5,10,100,11,73,0
