,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
0,"(56, 57)",45,0,0,0,35,1,3,0
1,"(56, 58)",85,22.5,10,15,100,1,23,0
2,"(56, 59)",85,22.5,10,15,100,1,32,0
3,"(56, 60)",80,17.14285714,45,50,100,2,16,0
4,"(56, 61)",80,17.14285714,45,50,100,2,2,0
5,"(56, 62)",60,17.14285714,40,45,95,2,133,0
6,"(56, 63)",70,17.14285714,45,50,100,2,120,0
7,"(56, 64)",45,28.33333333,10,25,100,7,150,0
8,"(56, 65)",50,31.11111111,0,15,5,4,147,0
9,"(56, 66)",60,15.55555556,10,10,85,4,135,0
10,"(56, 67)",70,26.66666667,75,80,85,2,18,1
11,"(56, 68)",60,15.55555556,10,10,90,4,146,0
12,"(56, 69)",70,43.63636364,0,0,90,6,51,0
13,"(56, 70)",65,14.16666667,15,15,100,7,53,0
14,"(56, 71)",70,31.11111111,0,5,100,4,17,0
15,"(56, 72)",45,13.57142857,0,0,95,9,2,0
16,"(56, 73)",75,22.5,10,15,95,1,790,0
17,"(56, 74)",75,16.25,0,0,100,3,61,0
18,"(56, 75)",75,16.25,0,0,100,3,69,0
19,"(56, 76)",80,51.42857143,45,50,100,2,16,0
20,"(56, 77)",65,0,20,25,100,1,148,0
21,"(56, 78)",80,51.42857143,45,50,100,2,17,0
22,"(56, 79)",65,36.66666667,50,55,90,1,1,0
23,"(56, 80)",70,20,50,55,95,0,6,0
24,"(56, 81)",35,39.375,0,10,100,11,39,0
25,"(56, 82)",35,39.375,5,10,85,11,10,0
26,"(56, 83)",60,17.14285714,40,45,100,2,14,0
27,"(56, 84)",55,0,35,40,100,1,4,0
28,"(56, 85)",65,15,25,30,95,5,380,0
29,"(56, 86)",75,0,30,35,95,3,272,0
30,"(56, 87)",65,0,35,40,100,1,217,0
31,"(56, 88)",70,0,20,25,100,2,94,0
32,"(56, 89)",65,0,30,35,100,1,203,0
33,"(56, 90)",75,36.66666667,5,10,100,1,112,0
34,"(56, 91)",75,0,5,5,95,1,249,0
35,"(56, 92)",50,0,0,5,100,2,95,0
36,"(56, 93)",65,18.33333333,25,30,95,1,163,0
37,"(56, 94)",60,34.28571429,10,15,95,2,458,0
38,"(56, 95)",45,14.16666667,15,15,100,7,348,0
39,"(56, 96)",85,45,40,45,100,1,271,0
40,"(56, 97)",85,67.5,40,45,100,1,259,0
