,Pair,RC,IRS,STS,VTS,RRS,SD,TD,Target
41,"(56, 98)",75,22.5,25,30,100,1,62,0
42,"(56, 99)",55,0,0,5,100,1,4,0
43,"(56, 100)",75,22.5,25,30,100,1,96,0
44,"(56, 101)",55,16.25,5,5,100,3,95,0
45,"(56, 102)",55,0,10,10,100,3,18,0
46,"(56, 103)",65,0,20,25,100,1,19,0
47,"(56, 104)",75,35,10,15,100,3,44,0
48,"(56, 105)",60,0,0,5,100,2,9,0
49,"(56, 106)",60,0,55,55,100,2,54,0
50,"(56, 107)",60,0,55,55,100,2,51,0
51,"(56, 108)",45,0,0,0,100,1,0,0
52,"(57, 58)",60,20.83333333,5,0,35,2,26,0
53,"(57, 59)",60,20.83333333,0,0,35,2,35,0
54,"(57, 60)",55,15.47619048,0,0,35,1,19,0
55,"(57, 61)",55,15.47619048,0,0,35,1,1,0
56,"(57, 62)",75,61.9047619,0,0,30,1,136,0
57,"(57, 63)",65,46.42857143,0,0,35,1,123,0
58,"(57, 64)",40,25,5,0,35,6,153,0
59,"(57, 65)",45,13.88888889,0,15,60,3,150,0
60,"(57, 66)",65,13.88888889,0,0,30,3,138,0
61,"(57, 67)",75,25,0,5,30,3,21,0
62,"(57, 68)",65,13.88888889,0,0,25,3,149,0
63,"(57, 69)",45,12.87878788,20,25,45,5,54,0
64,"(57, 70)",50,0,0,0,35,6,56,0
65,"(57, 71)",55,0,10,30,35,3,14,0
66,"(57, 72)",30,0,10,20,40,8,1,0
67,"(57, 73)",70,41.66666667,5,0,30,2,787,0
68,"(57, 74)",60,14.58333333,0,0,35,2,64,0
69,"(57, 75)",60,14.58333333,0,0,35,2,72,0
70,"(57, 76)",65,15.47619048,10,15,35,1,13,0
71,"(57, 77)",60,20.83333333,5,0,35,2,151,0
72,"(57, 78)",65,15.47619048,5,10,35,1,14,0
73,"(57, 79)",70,16.66666667,0,0,35,0,2,0
74,"(57, 80)",65,18.33333333,0,0,30,1,3,0
75,"(57, 81)",30,11.45833333,0,10,35,10,42,0
76,"(57, 82)",30,11.45833333,0,10,40,10,13,0
77,"(57, 83)",65,15.47619048,0,10,35,1,11,0
78,"(57, 84)",70,16.66666667,0,10,35,0,1,0
79,"(57, 85)",60,40,0,0,30,4,383,0
80,"(57, 86)",50,0,0,10,30,2,275,0
81,"(57, 87)",60,0,0,0,35,0,220,0
82,"(57, 88)",65,25,5,0,35,3,97,0
83,"(57, 89)",60,0,0,0,35,0,206,0
84,"(57, 90)",60,0,0,30,35,0,115,0
85,"(57, 91)",60,16.66666667,0,0,30,0,252,0
86,"(57, 92)",65,0,10,15,35,1,98,0
87,"(57, 93)",80,16.66666667,0,0,30,0,166,0
88,"(57, 94)",75,30.95238095,0,0,40,1,461,0
89,"(57, 95)",60,25,0,0,35,6,351,0
90,"(57, 96)",60,0,0,0,35,2,274,0
91,"(57, 97)",60,0,0,0,35,2,262,0
92,"(57, 98)",70,20.83333333,0,0,35,2,65,0
93,"(57, 99)",80,41.66666667,15,25,35,2,7,0
94,"(57, 100)",70,20.83333333,0,0,35,2,99,0
95,"(57, 101)",70,29.16666667,0,35,35,2,98,0
96,"(57, 102)",70,29.16666667,5,35,35,2,15,0
97,"(57, 103)",60,0,0,5,35,0,22,0
98,"(57, 104)",60,0,5,5,35,4,47,0
99,"(57, 105)",85,50,15,20,35,3,12,0
100,"(57, 106)",85,50,0,10,35,3,57,0
101,"(57, 107)",85,50,0,10,35,3,54,0
102,"(57, 108)",90,66.66666667,15,55,35,0,3,1
103,"(58, 59)",100,100,80,95,100,0,9,1
104,"(58, 60)",65,39.28571429,10,15,100,3,7,0
105,"(58, 61)",65,39.28571429,15,20,100,3,25,0
106,"(58, 62)",75,19.64285714,5,10,95,3,110,0
107,"(58, 63)",75,39.28571429,5,10,100,3,97,0
108,"(58, 64)",40,16.66666667,0,5,100,8,127,0
109,"(58, 65)",45,18.05555556,0,0,5,5,124,0
110,"(58, 66)",65,54.16666667,65,90,85,5,112,0
111,"(58, 67)",65,0,0,0,85,1,5,0
112,"(58, 68)",65,54.16666667,65,90,90,5,123,0
113,"(58, 69)",65,34.09090909,10,0,90,7,28,0
114,"(58, 70)",60,33.33333333,10,25,100,8,30,0
115,"(58, 71)",75,54.16666667,0,0,100,5,40,0
116,"(58, 72)",50,32.14285714,0,10,95,10,25,0
117,"(58, 73)",90,75,35,40,95,0,813,0
118,"(58, 74)",60,37.5,5,10,100,4,38,0
119,"(58, 75)",60,37.5,5,10,100,4,46,0
120,"(58, 76)",75,39.28571429,15,10,100,3,39,0
121,"(58, 77)",80,25,25,30,100,0,125,0
122,"(58, 78)",75,39.28571429,15,10,100,3,40,0
123,"(58, 79)",80,41.66666667,10,15,90,2,24,0
124,"(58, 80)",85,67.5,10,15,95,1,29,0
125,"(58, 81)",30,15.625,5,5,100,12,16,0
126,"(58, 82)",30,15.625,5,5,85,12,13,0
127,"(58, 83)",65,19.64285714,5,10,100,3,37,0
128,"(58, 84)",60,20.83333333,5,10,100,2,27,0
129,"(58, 85)",50,17.5,20,25,95,6,357,0
130,"(58, 86)",70,18.75,20,25,95,4,249,0
131,"(58, 87)",60,20.83333333,15,20,100,2,194,0
132,"(58, 88)",85,29.16666667,30,30,100,1,71,0
133,"(58, 89)",60,20.83333333,20,25,100,2,180,0
134,"(58, 90)",90,41.66666667,0,0,100,2,89,0
135,"(58, 91)",70,20.83333333,40,45,95,2,226,0
136,"(58, 92)",55,0,5,0,100,3,72,0
137,"(58, 93)",70,41.66666667,15,30,95,2,140,0
138,"(58, 94)",75,39.28571429,25,40,95,3,435,0
139,"(58, 95)",40,16.66666667,25,35,100,8,325,0
140,"(58, 96)",80,50,10,15,100,0,248,0
141,"(58, 97)",80,25,10,15,100,0,236,0
142,"(58, 98)",80,50,10,10,100,0,39,0
143,"(58, 99)",60,0,5,0,100,0,19,0
144,"(58, 100)",80,50,15,15,100,0,73,0
145,"(58, 101)",60,37.5,0,0,100,4,72,0
146,"(58, 102)",60,37.5,0,0,100,4,41,0
147,"(58, 103)",60,20.83333333,5,10,100,2,4,0
148,"(58, 104)",80,0,10,15,100,2,21,0
149,"(58, 105)",65,0,0,0,100,1,14,0
150,"(58, 106)",65,0,0,0,100,1,31,0
151,"(58, 107)",65,0,0,0,100,1,28,0
152,"(58, 108)",60,20.83333333,0,0,100,2,23,0
153,"(59, 60)",65,39.28571429,10,15,100,3,16,0
154,"(59, 61)",65,39.28571429,10,15,100,3,34,0
155,"(59, 62)",75,19.64285714,5,10,95,3,101,0
156,"(59, 63)",75,39.28571429,5,10,100,3,88,0
157,"(59, 64)",40,16.66666667,0,5,100,8,118,0
158,"(59, 65)",45,18.05555556,0,0,5,5,115,0
159,"(59, 66)",65,54.16666667,70,95,85,5,103,0
160,"(59, 67)",65,0,0,0,85,1,14,0
161,"(59, 68)",65,54.16666667,75,90,90,5,114,0
162,"(59, 69)",65,34.09090909,5,0,90,7,19,0
163,"(59, 70)",60,33.33333333,10,25,100,8,21,0
164,"(59, 71)",75,54.16666667,5,5,100,5,49,0
165,"(59, 72)",50,32.14285714,5,10,95,10,34,0
166,"(59, 73)",90,75,35,40,95,0,822,0
167,"(59, 74)",60,37.5,10,10,100,4,29,0
168,"(59, 75)",60,37.5,10,10,100,4,37,0
169,"(59, 76)",75,39.28571429,10,10,100,3,48,0
170,"(59, 77)",80,25,25,30,100,0,116,0
171,"(59, 78)",75,39.28571429,10,10,100,3,49,0
172,"(59, 79)",80,41.66666667,10,15,90,2,33,0
173,"(59, 80)",85,67.5,10,15,95,1,38,0
174,"(59, 81)",30,15.625,10,5,100,12,7,0
175,"(59, 82)",30,15.625,5,5,85,12,22,0
176,"(59, 83)",65,19.64285714,10,10,100,3,46,0
177,"(59, 84)",60,20.83333333,10,10,100,2,36,0
178,"(59, 85)",50,17.5,20,25,95,6,348,0
179,"(59, 86)",70,18.75,20,25,95,4,240,0
180,"(59, 87)",60,20.83333333,15,20,100,2,185,0
181,"(59, 88)",85,29.16666667,30,30,100,1,62,0
182,"(59, 89)",60,20.83333333,20,25,100,2,171,0
183,"(59, 90)",90,41.66666667,0,0,100,2,80,0
184,"(59, 91)",70,20.83333333,45,45,95,2,217,0
185,"(59, 92)",55,0,5,0,100,3,63,0
186,"(59, 93)",70,41.66666667,15,25,95,2,131,0
187,"(59, 94)",75,39.28571429,25,40,95,3,426,0
188,"(59, 95)",40,16.66666667,25,35,100,8,316,0
189,"(59, 96)",80,50,10,15,100,0,239,0
190,"(59, 97)",80,25,10,15,100,0,227,0
191,"(59, 98)",80,50,5,10,100,0,30,0
192,"(59, 99)",60,0,0,0,100,0,28,0
193,"(59, 100)",80,50,5,10,100,0,64,0
194,"(59, 101)",60,37.5,5,0,100,4,63,0
195,"(59, 102)",60,37.5,5,0,100,4,50,0
196,"(59, 103)",60,20.83333333,0,5,100,2,13,0
197,"(59, 104)",80,0,5,10,100,2,12,0
198,"(59, 105)",65,0,0,0,100,1,23,0
199,"(59, 106)",65,0,0,0,100,1,22,0
200,"(59, 107)",65,0,0,0,100,1,19,0
201,"(59, 108)",60,20.83333333,0,0,100,2,32,0
202,"(60, 61)",100,100,100,100,100,0,18,1
203,"(60, 62)",70,28.57142857,55,65,95,0,117,0
204,"(60, 63)",70,42.85714286,60,65,100,0,104,0
205,"(60, 64)",55,22.61904762,0,10,100,5,134,0
206,"(60, 65)",50,12.6984127,0,10,5,2,131,0
207,"(60, 66)",80,50.79365079,10,15,85,2,119,0
208,"(60, 67)",80,47.61904762,35,30,85,4,2,0
209,"(60, 68)",80,50.79365079,10,15,90,2,130,0
210,"(60, 69)",60,23.37662338,0,0,90,4,35,0
211,"(60, 70)",45,22.61904762,5,15,100,5,37,0
212,"(60, 71)",60,25.3968254,0,5,100,2,33,0
213,"(60, 72)",35,10.71428571,0,5,95,7,18,0
214,"(60, 73)",65,39.28571429,15,20,95,3,806,0
215,"(60, 74)",85,53.57142857,0,0,100,1,45,0
216,"(60, 75)",85,53.57142857,0,0,100,1,53,0
217,"(60, 76)",80,28.57142857,50,55,100,0,32,0
218,"(60, 77)",55,0,35,40,100,3,132,0
219,"(60, 78)",80,28.57142857,50,55,100,0,33,0
220,"(60, 79)",65,15.47619048,30,35,90,1,17,0
221,"(60, 80)",60,34.28571429,30,30,95,2,22,0
222,"(60, 81)",45,20.53571429,0,10,100,9,23,0
223,"(60, 82)",45,20.53571429,5,10,85,9,6,0
224,"(60, 83)",70,14.28571429,15,20,100,0,30,0
225,"(60, 84)",65,15.47619048,15,20,100,1,20,0
226,"(60, 85)",65,12.14285714,35,40,95,3,364,0
227,"(60, 86)",75,26.78571429,40,45,95,1,256,0
228,"(60, 87)",75,46.42857143,40,45,100,1,201,0
229,"(60, 88)",60,0,30,35,100,4,78,0
230,"(60, 89)",75,46.42857143,45,50,100,1,187,0
231,"(60, 90)",65,46.42857143,5,0,100,1,96,0
232,"(60, 91)",65,30.95238095,15,10,95,1,233,0
233,"(60, 92)",60,0,0,5,100,0,79,0
234,"(60, 93)",75,46.42857143,25,30,95,1,147,0
235,"(60, 94)",60,14.28571429,15,20,95,0,442,0
236,"(60, 95)",65,11.30952381,15,25,100,5,332,0
237,"(60, 96)",85,39.28571429,40,45,100,3,255,0
238,"(60, 97)",85,19.64285714,45,50,100,3,243,0
239,"(60, 98)",75,39.28571429,35,40,100,3,46,0
240,"(60, 99)",75,39.28571429,0,0,100,3,12,0
241,"(60, 100)",75,39.28571429,30,35,100,3,80,0
242,"(60, 101)",55,13.39285714,0,0,100,1,79,0
243,"(60, 102)",55,26.78571429,0,0,100,1,34,0
244,"(60, 103)",75,15.47619048,30,40,100,1,3,0
245,"(60, 104)",75,0,25,35,100,5,28,0
246,"(60, 105)",70,47.61904762,0,5,100,4,7,0
247,"(60, 106)",70,47.61904762,30,30,100,4,38,0
248,"(60, 107)",70,47.61904762,25,25,100,4,35,0
249,"(60, 108)",45,15.47619048,0,0,100,1,16,0
250,"(61, 62)",70,28.57142857,55,65,95,0,135,0
251,"(61, 63)",70,42.85714286,60,65,100,0,122,0
252,"(61, 64)",55,22.61904762,0,10,100,5,152,0
253,"(61, 65)",50,12.6984127,0,10,5,2,149,0
254,"(61, 66)",80,50.79365079,10,15,85,2,137,0
255,"(61, 67)",80,47.61904762,35,30,85,4,20,0
256,"(61, 68)",80,50.79365079,10,15,90,2,148,0
257,"(61, 69)",60,23.37662338,0,0,90,4,53,0
258,"(61, 70)",45,22.61904762,5,15,100,5,55,0
259,"(61, 71)",60,25.3968254,0,5,100,2,15,0
260,"(61, 72)",35,10.71428571,0,5,95,7,0,0
261,"(61, 73)",65,39.28571429,15,20,95,3,788,0
262,"(61, 74)",85,53.57142857,0,0,100,1,63,0
263,"(61, 75)",85,53.57142857,0,0,100,1,71,0
264,"(61, 76)",80,28.57142857,50,55,100,0,14,0
265,"(61, 77)",55,0,35,40,100,3,150,0
266,"(61, 78)",80,28.57142857,50,55,100,0,15,0
267,"(61, 79)",65,15.47619048,30,35,90,1,1,0
268,"(61, 80)",60,34.28571429,30,30,95,2,4,0
269,"(61, 81)",45,20.53571429,0,10,100,9,41,0
270,"(61, 82)",45,20.53571429,5,10,85,9,12,0
271,"(61, 83)",70,14.28571429,15,20,100,0,12,0
272,"(61, 84)",65,15.47619048,15,20,100,1,2,0
273,"(61, 85)",65,12.14285714,35,40,95,3,382,0
274,"(61, 86)",75,26.78571429,35,45,95,1,274,0
275,"(61, 87)",75,46.42857143,40,45,100,1,219,0
276,"(61, 88)",60,0,35,40,100,4,96,0
277,"(61, 89)",75,46.42857143,45,50,100,1,205,0
278,"(61, 90)",65,46.42857143,5,0,100,1,114,0
279,"(61, 91)",65,30.95238095,15,10,95,1,251,0
280,"(61, 92)",60,0,0,5,100,0,97,0
281,"(61, 93)",75,46.42857143,25,30,95,1,165,0
282,"(61, 94)",60,14.28571429,20,25,95,0,460,0
283,"(61, 95)",65,11.30952381,15,25,100,5,350,0
284,"(61, 96)",85,39.28571429,40,45,100,3,273,0
285,"(61, 97)",85,19.64285714,45,50,100,3,261,0
286,"(61, 98)",75,39.28571429,35,40,100,3,64,0
287,"(61, 99)",75,39.28571429,0,0,100,3,6,0
288,"(61, 100)",75,39.28571429,30,35,100,3,98,0
289,"(61, 101)",55,13.39285714,0,0,100,1,97,0
290,"(61, 102)",55,26.78571429,0,0,100,1,16,0
291,"(61, 103)",75,15.47619048,30,40,100,1,21,0
292,"(61, 104)",75,0,25,35,100,5,46,0
293,"(61, 105)",70,47.61904762,0,5,100,4,11,0
294,"(61, 106)",70,47.61904762,25,25,100,4,56,0
295,"(61, 107)",70,47.61904762,25,25,100,4,53,0
296,"(61, 108)",45,15.47619048,0,0,100,1,2,0
297,"(62, 63)",90,71.42857143,95,100,95,0,13,1
298,"(62, 64)",35,11.30952381,10,40,95,5,17,0
299,"(62, 65)",30,0,0,5,10,2,14,0
300,"(62, 66)",80,12.6984127,5,5,80,2,2,0
301,"(62, 67)",70,23.80952381,30,30,80,4,115,0
302,"(62, 68)",80,12.6984127,5,5,85,2,13,0
303,"(62, 69)",60,23.37662338,0,0,85,4,82,0
304,"(62, 70)",45,0,10,20,95,5,80,0
305,"(62, 71)",70,0,0,5,95,2,150,0
306,"(62, 72)",45,0,0,5,90,7,135,0
307,"(62, 73)",65,19.64285714,10,15,90,3,923,0
308,"(62, 74)",65,13.39285714,30,25,95,1,72,0
309,"(62, 75)",65,13.39285714,30,25,95,1,64,0
310,"(62, 76)",70,14.28571429,35,45,95,0,149,0
311,"(62, 77)",65,39.28571429,30,35,95,3,15,0
312,"(62, 78)",70,14.28571429,35,45,95,0,150,0
313,"(62, 79)",75,15.47619048,15,20,85,1,134,0
314,"(62, 80)",70,17.14285714,15,20,90,2,139,0
315,"(62, 81)",35,0,5,15,95,9,94,0
316,"(62, 82)",35,0,0,0,80,9,123,0
317,"(62, 83)",80,14.28571429,25,25,95,0,147,0
318,"(62, 84)",75,15.47619048,25,30,95,1,137,0
319,"(62, 85)",55,12.14285714,35,40,90,3,247,0
320,"(62, 86)",65,0,20,25,90,1,139,0
321,"(62, 87)",65,0,40,40,95,1,84,0
322,"(62, 88)",70,47.61904762,30,35,95,4,39,0
323,"(62, 89)",65,0,35,35,95,1,70,0
324,"(62, 90)",75,15.47619048,0,0,95,1,21,0
325,"(62, 91)",75,30.95238095,20,20,90,1,116,0
326,"(62, 92)",70,14.28571429,5,15,95,0,38,0
327,"(62, 93)",75,0,40,45,90,1,30,0
328,"(62, 94)",70,14.28571429,5,10,90,0,325,0
329,"(62, 95)",65,22.61904762,10,15,95,5,215,0
330,"(62, 96)",65,0,45,55,95,3,138,0
331,"(62, 97)",65,0,45,55,95,3,126,0
332,"(62, 98)",65,19.64285714,40,45,95,3,71,0
333,"(62, 99)",75,19.64285714,5,10,95,3,129,0
334,"(62, 100)",65,19.64285714,35,40,95,3,37,0
335,"(62, 101)",65,13.39285714,15,15,95,1,38,0
336,"(62, 102)",65,13.39285714,10,10,95,1,151,0
337,"(62, 103)",65,0,20,25,95,1,114,0
338,"(62, 104)",75,0,20,30,95,5,89,0
339,"(62, 105)",70,23.80952381,5,10,95,4,124,0
340,"(62, 106)",70,23.80952381,30,30,95,4,79,0
341,"(62, 107)",70,23.80952381,35,35,95,4,82,0
342,"(62, 108)",65,30.95238095,0,0,95,1,133,0
343,"(63, 64)",35,11.30952381,10,40,100,5,30,0
344,"(63, 65)",40,0,0,5,5,2,27,0
345,"(63, 66)",80,25.3968254,5,5,85,2,15,0
346,"(63, 67)",70,23.80952381,35,35,85,4,102,0
347,"(63, 68)",80,25.3968254,5,5,90,2,26,0
348,"(63, 69)",60,23.37662338,0,0,90,4,69,0
349,"(63, 70)",55,0,10,20,100,5,67,0
350,"(63, 71)",70,12.6984127,0,5,100,2,137,0
351,"(63, 72)",45,10.71428571,0,5,95,7,122,0
352,"(63, 73)",65,39.28571429,5,10,95,3,910,0
353,"(63, 74)",65,26.78571429,30,25,100,1,59,0
354,"(63, 75)",65,26.78571429,30,25,100,1,51,0
355,"(63, 76)",70,14.28571429,45,50,100,0,136,0
356,"(63, 77)",65,19.64285714,25,30,100,3,28,0
357,"(63, 78)",70,14.28571429,45,50,100,0,137,0
358,"(63, 79)",75,15.47619048,15,20,90,1,121,0
359,"(63, 80)",70,34.28571429,15,20,95,2,126,0
360,"(63, 81)",45,0,5,15,100,9,81,0
361,"(63, 82)",45,0,0,0,85,9,110,0
362,"(63, 83)",80,14.28571429,25,25,100,0,134,0
363,"(63, 84)",75,15.47619048,25,30,100,1,124,0
364,"(63, 85)",55,12.14285714,35,40,95,3,260,0
365,"(63, 86)",55,13.39285714,25,30,95,1,152,0
366,"(63, 87)",65,15.47619048,40,40,100,1,97,0
367,"(63, 88)",70,23.80952381,25,30,100,4,26,0
368,"(63, 89)",65,15.47619048,40,40,100,1,83,0
369,"(63, 90)",65,30.95238095,0,0,100,1,8,0
370,"(63, 91)",65,15.47619048,20,20,95,1,129,0
371,"(63, 92)",60,0,5,15,100,0,25,0
372,"(63, 93)",65,15.47619048,40,45,95,1,43,0
373,"(63, 94)",60,14.28571429,5,10,95,0,338,0
374,"(63, 95)",65,11.30952381,10,10,100,5,228,0
375,"(63, 96)",75,19.64285714,45,55,100,3,151,0
376,"(63, 97)",75,0,45,55,100,3,139,0
377,"(63, 98)",65,19.64285714,35,40,100,3,58,0
378,"(63, 99)",65,19.64285714,5,5,100,3,116,0
379,"(63, 100)",65,19.64285714,30,35,100,3,24,0
380,"(63, 101)",65,26.78571429,10,10,100,1,25,0
381,"(63, 102)",65,26.78571429,10,10,100,1,138,0
382,"(63, 103)",65,15.47619048,25,30,100,1,101,0
383,"(63, 104)",75,0,20,30,100,5,76,0
384,"(63, 105)",60,23.80952381,5,10,100,4,111,0
385,"(63, 106)",60,23.80952381,35,35,100,4,66,0
386,"(63, 107)",60,23.80952381,40,40,100,4,69,0
387,"(63, 108)",65,30.95238095,0,0,100,1,120,0
388,"(64, 65)",85,58.33333333,0,25,5,3,3,1
389,"(64, 66)",55,9.722222222,0,0,85,3,15,0
390,"(64, 67)",55,41.66666667,5,15,85,9,132,0
391,"(64, 68)",55,9.722222222,0,0,90,3,4,0
392,"(64, 69)",55,34.84848485,5,0,90,1,99,0
393,"(64, 70)",40,16.66666667,10,25,100,0,97,0
394,"(64, 71)",55,19.44444444,0,5,100,3,167,0
395,"(64, 72)",70,30.95238095,0,0,95,2,152,0
396,"(64, 73)",50,33.33333333,5,5,95,8,940,0
397,"(64, 74)",60,20.83333333,0,20,100,4,89,0
398,"(64, 75)",60,20.83333333,0,20,100,4,81,0
399,"(64, 76)",45,22.61904762,10,20,100,5,166,0
400,"(64, 77)",50,0,0,5,100,8,2,0
401,"(64, 78)",45,22.61904762,15,20,100,5,167,0
402,"(64, 79)",50,12.5,0,10,90,6,151,0
403,"(64, 80)",45,14.16666667,0,5,95,7,156,0
404,"(64, 81)",70,29.16666667,10,15,100,4,111,0
405,"(64, 82)",70,29.16666667,5,5,85,4,140,0
406,"(64, 83)",45,0,5,15,100,5,164,0
407,"(64, 84)",40,0,10,20,100,6,154,0
408,"(64, 85)",40,18.33333333,5,15,95,2,230,0
409,"(64, 86)",50,0,0,5,95,4,122,0
410,"(64, 87)",60,12.5,0,20,100,6,67,0
411,"(64, 88)",45,0,0,5,100,9,56,0
412,"(64, 89)",60,12.5,0,20,100,6,53,0
413,"(64, 90)",50,12.5,5,5,100,6,38,0
414,"(64, 91)",40,0,0,10,95,6,99,0
415,"(64, 92)",65,0,0,5,100,5,55,0
416,"(64, 93)",60,25,5,15,95,6,13,0
417,"(64, 94)",55,22.61904762,0,5,95,5,308,0
418,"(64, 95)",60,8.333333333,0,0,100,0,198,0
419,"(64, 96)",60,33.33333333,5,15,100,8,121,0
420,"(64, 97)",60,33.33333333,5,15,100,8,109,0
421,"(64, 98)",50,16.66666667,5,10,100,8,88,0
422,"(64, 99)",50,33.33333333,20,20,100,8,146,0
423,"(64, 100)",50,16.66666667,10,15,100,8,54,0
424,"(64, 101)",60,20.83333333,10,20,100,4,55,0
425,"(64, 102)",60,10.41666667,10,20,100,4,168,0
426,"(64, 103)",60,12.5,20,35,100,6,131,0
427,"(64, 104)",40,0,10,25,100,10,106,0
428,"(64, 105)",55,41.66666667,20,25,100,9,141,0
429,"(64, 106)",55,41.66666667,10,15,100,9,96,0
430,"(64, 107)",55,41.66666667,15,20,100,9,99,0
431,"(64, 108)",30,25,5,0,100,6,150,0
432,"(65, 66)",50,22.22222222,0,0,20,0,12,0
433,"(65, 67)",60,22.22222222,0,20,10,6,129,0
434,"(65, 68)",50,22.22222222,0,0,15,0,1,0
435,"(65, 69)",50,50.50505051,0,15,15,2,96,0
436,"(65, 70)",45,9.722222222,0,20,5,3,94,0
437,"(65, 71)",50,33.33333333,0,0,5,0,164,0
438,"(65, 72)",55,18.25396825,0,10,10,5,149,0
439,"(65, 73)",55,36.11111111,0,0,10,5,937,0
440,"(65, 74)",55,23.61111111,0,0,5,1,86,0
441,"(65, 75)",55,23.61111111,0,0,5,1,78,0
442,"(65, 76)",40,25.3968254,0,5,5,2,163,0
443,"(65, 77)",55,18.05555556,0,0,5,5,1,0
444,"(65, 78)",40,25.3968254,0,5,5,2,164,0
445,"(65, 79)",55,13.88888889,0,10,15,3,148,0
446,"(65, 80)",50,15.55555556,0,10,10,4,153,0
447,"(65, 81)",65,34.72222222,0,10,5,7,108,0
448,"(65, 82)",65,34.72222222,0,15,20,7,137,0
449,"(65, 83)",40,12.6984127,0,10,5,2,161,0
450,"(65, 84)",45,13.88888889,0,10,5,3,151,0
451,"(65, 85)",45,21.11111111,0,0,10,1,233,0
452,"(65, 86)",45,0,0,5,10,1,125,0
453,"(65, 87)",55,13.88888889,0,0,5,3,70,0
454,"(65, 88)",50,22.22222222,0,0,5,6,53,0
455,"(65, 89)",55,13.88888889,0,0,5,3,56,0
456,"(65, 90)",45,27.77777778,0,30,5,3,35,0
457,"(65, 91)",35,0,0,0,10,3,102,0
458,"(65, 92)",60,25.3968254,0,20,5,2,52,0
459,"(65, 93)",55,27.77777778,0,5,10,3,16,0
460,"(65, 94)",50,25.3968254,0,0,10,2,311,0
461,"(65, 95)",55,19.44444444,0,0,5,3,201,0
462,"(65, 96)",65,36.11111111,0,0,5,5,124,0
463,"(65, 97)",65,36.11111111,0,0,5,5,112,0
464,"(65, 98)",55,18.05555556,0,5,5,5,85,0
465,"(65, 99)",55,18.05555556,0,25,5,5,143,0
466,"(65, 100)",55,18.05555556,0,5,5,5,51,0
467,"(65, 101)",55,23.61111111,0,20,5,1,52,0
468,"(65, 102)",55,11.80555556,0,20,5,1,165,0
469,"(65, 103)",55,13.88888889,0,25,5,3,128,0
470,"(65, 104)",45,0,0,30,5,7,103,0
471,"(65, 105)",60,22.22222222,0,25,5,6,138,0
472,"(65, 106)",60,22.22222222,0,15,5,6,93,0
473,"(65, 107)",60,22.22222222,0,20,5,6,96,0
474,"(65, 108)",45,13.88888889,0,25,5,3,147,0
475,"(66, 67)",70,22.22222222,0,0,80,6,117,0
476,"(66, 68)",100,100,95,100,95,0,11,1
477,"(66, 69)",70,50.50505051,0,0,75,2,84,0
478,"(66, 70)",45,29.16666667,5,15,85,3,82,0
479,"(66, 71)",80,44.44444444,0,0,85,0,152,0
480,"(66, 72)",55,18.25396825,0,15,80,5,137,0
